pdiv,longitude,latitude,county,grid_id,land_surface_elevation_m,hydraulic_conductivity_mday,specific_yield,saturated_thickness_1945_m,average_saturated_thickness_2018_2020_m,bedrock_m,bedrock_depth_m,B,x_meters,y_meters,logB
6715,-100.581,39.40344,SD,36174,881.9759897617057,78.769464,0.0535,40.75401474609451,16.62875244140555,799.2790268554695,82.6008,0.0020969590453437225,363875.89087278105,4362740.637179874,-6.167267057370512
45981,-100.5579,39.39394,SD,36536,877.8887332662142,81.527904,0.0601,42.17398388671951,17.4238294921861,793.4652049804695,84.42960000000001,0.0020171267012222957,365846.6968863737,4361651.669740561,-6.206081205313489
6990,-100.448,39.43715,SD,34388,846.1325425694771,81.98205600000001,0.0562,27.077937890625,14.420403515625,776.907815625,69.1896,0.002013787780729441,375387.7464189303,4366289.781009237,-6.207737862268851
13742,-100.5652,39.39047,SD,36895,879.7223198130232,67.028568,0.0555,42.10753212890549,19.50844023437605,794.7875800781251,85.03920000000001,0.0024381347662334207,365211.3729082104,4361277.422133813,-6.016521972078596
7111,-100.6742,39.36488,SD,37964,895.7210924188166,96.533208,0.0607,44.94449384765549,17.53816669921942,819.379790625,76.2,0.0017181450174845246,355771.5629787345,4358605.695681105,-6.3665100483395385
18890,-100.5643,39.38213,SD,37255,876.9737064284515,55.635144,0.0516,42.250072265625,20.992901562498925,794.273230078125,82.6008,0.002919407024828251,365272.8409731968,4360350.450254721,-5.8363747570131554
50282,-100.549,39.38673,SD,36897,874.5738659097301,73.642728,0.0603,39.68334521484421,17.646587988280547,792.4795535156251,81.9912,0.0022204953496291033,366599.3949608391,4360838.265665309,-6.110024977524288
7488,-100.68312166,39.41572,SD,35443,906.4218782960284,80.68056,0.0636,39.77839057617226,19.72489833984457,823.0005742675778,83.51520000000001,0.0020309631991569845,355108.1595395114,4364262.610376761,-6.199245116116251
14592,-100.5486,39.38675,SD,36897,874.5738659097301,73.642728,0.0603,39.68334521484421,17.646587988280547,792.4795535156251,81.9912,0.0022204953496291033,366633.8828794535,4360839.894331783,-6.110024977524288
7640,-100.46946,39.39825,SD,36185,858.9289558554146,59.865768,0.0507,35.726265820314026,19.347023730469424,776.84560546875,81.9912,0.0027265203503293593,373470.5354835897,4362002.293416721,-5.904729079723809
21512,-100.5437,39.3868,SD,36898,870.0283959602644,75.236832,0.0558,37.01143388671647,16.285257128905396,792.1667912109391,77.724,0.002185079443319856,367055.9880827017,4360838.215532013,-6.126103092596748
7911,-100.7105,39.37132,SD,37600,906.160332865386,113.3856,0.0743,40.40575693359421,17.05711699218887,831.0751883789056,74.9808,0.0014595612889626239,352657.7597347703,4359379.062688413,-6.5296193754290615
49765,-100.5398,39.38507,SD,36898,870.0283959602644,75.236832,0.0558,37.01143388671647,16.285257128905396,792.1667912109391,77.724,0.002185079443319856,367388.5983776512,4360640.472548772,-6.126103092596748
8142,-100.64248,39.4053,SD,36167,887.2723839033072,57.24144,0.0592,45.233034375,21.30403916015555,810.658313671875,76.5048,0.0028206561020771514,358585.94081499346,4363041.625998011,-5.870785760782281
32929,-100.4976,39.38712,SD,36902,849.487109831311,85.517736,0.0539,27.222896484375003,9.029551171875,792.2489443359391,57.302400000000006,0.001939214939595829,371026.9070167849,4360806.849915665,-6.245472058119455
8154,-100.6783,39.37965,SD,37243,903.2186893696094,79.29372,0.0647,45.30183017578049,19.999653662108265,819.9938182617195,83.2104,0.0020626390218282647,355448.80671998573,4360251.538594598,-6.183769037504226
