,annual,corn,others
2011,61.13066666666667,37.40133333333334,37.40133333333334
2012,34.58777777777778,17.41111111111111,17.41111111111111
2013,41.64666666666666,31.26422222222222,31.26422222222222
2014,50.06866666666667,39.282,39.282
2015,59.73511111111111,39.96022222222222,39.96022222222222
2016,58.250666666666675,37.925555555555555,37.925555555555555
2017,73.66333333333333,51.68444444444443,51.68444444444443
2018,64.65377777777779,42.279333333333334,42.279333333333334
2019,77.55288888888889,63.080222222222226,63.080222222222226
2020,37.958222222222226,27.911333333333328,27.911333333333328
2021,52.392666666666656,36.82911111111111,36.82911111111111
2022,29.05533333333333,24.300444444444445,24.300444444444445
