Wi_regime,Pr,Cr,Co,Cd,Re,Seed,ST,Wi,RF,CF,OF,CSC,TP
higher,0.94673832271518,0.8690362579382916,0.9797887323170184,0.9908677659087185,0.9653279650751878,0.981246540942738,0.9569840863206205,0.9615804128277465,0.9718220587930954,0.967495360915571,0.6785899363776912,0.9213470366717122,0.8469100680756825
lower,1.0,1.0,0.9492071905787087,1.0,0.9789069381812845,0.9505573946071341,1.0,0.7904707821577197,1.0,0.6936025807464987,1.0,0.5412812207561236,1.0
