ST_regime,Pr,Cr,Co,Cd,Re,Seed,ST,Wi,RF,CF,OF,CSC,TP
higher,0.9822061795768009,0.9485916539811636,0.9574852263723117,0.9980217481286296,1.0,0.9592198876727837,0.9865159835071796,0.8541408467229649,0.9890082909698132,0.8022564968457498,0.8724958647514699,0.684257481417124,0.947965113843095
lower,0.9260665625615996,0.8511476861841312,1.0,0.9827078668033553,0.8497781173506433,1.0,0.9364728376182712,1.0,0.967675318800263,1.0,0.6404461119596198,1.0,0.7913234056667834
