year,bid,Sa,E[Sa],Un,state,profit,revenue,energy_cost,tech_cost,gp_status,gp_MIPGap,fid,field_type,crop,irr_vol,yield,yield_rate,irr_depth,w,field_area,wid,water_depth,withdrawal,energy
2012,b1,0.44794571,0.33465663,0.10742255,Repetition,6.83225229,8.98250885,0.27425656,1.876,2.0,2.201e-05,f1,irrigated,others,13.38315193,0.70697125,0.86213272,26.76630386,43.56630386,50.0,w1,45.30473,13.38315193,9.873e-05
2012,b2,0.44788943,0.33455968,0.10742684,Repetition,6.83107986,8.98306682,0.27598696,1.876,2.0,2.281e-05,f2,irrigated,others,13.38578334,0.70701516,0.86218627,26.77156667,43.57156667,50.0,w2,45.658887,13.38578334,9.936e-05
2012,b3,0.0,0.0,0.70031044,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f3,rainfed,corn,0.0,0.0,0.0,0.0,16.8,50.0,w3,45.99825,0.0,0.0
2012,b4,0.84095019,0.69761137,0.14061648,Repetition,21.14318531,23.47200021,0.4528149,1.876,2.0,1.174e-05,f4,irrigated,corn,21.89062381,2.20601506,0.95211554,43.78124762,60.58124762,50.0,w4,45.8497,21.89062381,0.00016301
2012,b5,0.18677897,0.15868916,0.15403972,Repetition,2.3776519,2.3776519,0.0,0.0,2.0,0.0,f5,rainfed,others,0.0,0.18713386,0.22820478,0.0,16.84,50.0,w5,46.14284,0.0,0.0
2012,b6,0.0,0.0,0.70035751,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f6,rainfed,corn,0.0,0.0,0.0,0.0,16.8,50.0,w6,45.697587,0.0,0.0
2012,b7,0.8409284,0.69757273,0.14062444,Repetition,21.14160988,23.47189015,0.45428026,1.876,2.0,1.166e-05,f7,irrigated,corn,21.89040839,2.20600471,0.95211108,43.78081677,60.58081677,50.0,w7,46.039174,21.89040839,0.00016354
2012,b8,0.18567955,0.15704349,0.15463932,Repetition,2.36211508,2.36211508,0.0,0.0,2.0,0.0,f8,rainfed,others,0.0,0.18591103,0.22671358,0.0,16.8,50.0,w8,46.48909,0.0,0.0
2012,b9,0.84083616,0.69740888,0.14065819,Repetition,21.13494369,23.47142613,0.46048244,1.876,2.0,1.201e-05,f9,irrigated,corn,21.88950031,2.2059611,0.95209226,43.77900061,60.57900061,50.0,w9,46.843274,21.88950031,0.00016577
2012,b10,0.18677897,0.15868916,0.15397531,Repetition,2.3776519,2.3776519,0.0,0.0,2.0,0.0,f10,rainfed,others,0.0,0.18713386,0.22820478,0.0,16.84,50.0,w10,46.54279,0.0,0.0
2012,b11,0.0,0.0,0.70038203,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f11,rainfed,corn,0.0,0.0,0.0,0.0,16.84,50.0,w11,46.835545,0.0,0.0
2012,b12,0.0,0.0,0.70025786,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f12,rainfed,corn,0.0,0.0,0.0,0.0,16.8,50.0,w12,46.333722,0.0,0.0
2012,b13,0.0,0.0,0.70018003,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f13,rainfed,corn,0.0,0.0,0.0,0.0,16.8,50.0,w13,46.830254,0.0,0.0
2012,b14,0.18567955,0.15704349,0.15450988,Repetition,2.36211508,2.36211508,0.0,0.0,2.0,0.0,f14,rainfed,others,0.0,0.18591103,0.22671358,0.0,16.8,50.0,w14,47.24076,0.0,0.0
2012,b15,0.18677897,0.15868916,0.15385308,Repetition,2.3776519,2.3776519,0.0,0.0,2.0,0.0,f15,rainfed,others,0.0,0.18713386,0.22820478,0.0,16.84,50.0,w15,47.277657,0.0,0.0
2012,b16,0.18677897,0.15868916,0.15380513,Repetition,2.3776519,2.3776519,0.0,0.0,2.0,0.0,f16,rainfed,others,0.0,0.18713386,0.22820478,0.0,16.84,50.0,w16,47.569375,0.0,0.0
2012,b17,0.0,0.0,0.7002631,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f17,rainfed,corn,0.0,0.0,0.0,0.0,17.09,50.0,w17,47.251492,0.0,0.0
2012,b18,0.0,0.0,0.70015941,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f18,rainfed,corn,0.0,0.0,0.0,0.0,17.09,50.0,w18,47.92403,0.0,0.0
2012,b19,0.83908841,0.69747332,0.13873667,Repetition,21.00935206,23.34342674,0.45807467,1.876,2.0,1.11e-05,f19,irrigated,corn,21.64047261,2.19393108,0.9469001,43.28094521,60.09094521,50.0,w19,47.21344,21.64047261,0.00016491
2012,b20,0.0,0.0,0.70031467,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f20,rainfed,corn,0.0,0.0,0.0,0.0,16.81,50.0,w20,47.456116,0.0,0.0
2012,b21,0.83944988,0.69749845,0.13920164,Repetition,21.03521498,23.36833604,0.45712107,1.876,2.0,1.178e-05,f21,irrigated,corn,21.54699352,2.19627218,0.94791052,43.09398704,60.18398704,50.0,w21,47.3478,21.54699352,0.00016456
2012,b22,0.0,0.0,0.70019941,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f22,rainfed,corn,0.0,0.0,0.0,0.0,17.09,50.0,w22,47.66445,0.0,0.0
2012,b23,0.0,0.0,0.70014938,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f23,rainfed,corn,0.0,0.0,0.0,0.0,17.09,50.0,w23,47.989022,0.0,0.0
2012,b24,0.0,0.0,0.70009721,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f24,rainfed,corn,0.0,0.0,0.0,0.0,17.09,50.0,w24,48.327298,0.0,0.0
2012,b25,0.0,0.0,0.70029327,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f25,rainfed,corn,0.0,0.0,0.0,0.0,16.81,50.0,w25,47.59609,0.0,0.0
2012,b26,0.18595465,0.16473082,0.15464753,Repetition,2.36600087,2.36600087,0.0,0.0,2.0,0.0,f26,rainfed,others,0.0,0.18621686,0.22708653,0.0,16.81,50.0,w26,47.834317,0.0,0.0
2012,b27,0.83940024,0.69741082,0.13921894,Repetition,21.03165934,23.3680784,0.46041906,1.876,2.0,1.343e-05,f27,irrigated,corn,21.54651005,2.19624797,0.94790007,43.0930201,60.1830201,50.0,w27,47.78187,21.54651005,0.00016575
2012,b28,0.83917986,0.69734866,0.13904644,Repetition,21.01588957,23.35411319,0.46222361,1.876,2.0,1.321e-05,f28,irrigated,corn,21.52037607,2.19493545,0.94733359,43.04075214,60.13075214,50.0,w28,48.092477,21.52037607,0.0001664
2012,b29,0.83914337,0.69728452,0.13905935,Repetition,21.01328048,23.35393461,0.46465413,1.876,2.0,1.298e-05,f29,irrigated,corn,21.5200428,2.19491867,0.94732634,43.0400856,60.1300856,50.0,w29,48.412755,21.5200428,0.00016728
2012,b30,0.83910518,0.69721741,0.13907285,Repetition,21.01055065,23.35374786,0.46719722,1.876,2.0,1.274e-05,f30,irrigated,corn,21.51969431,2.19490112,0.94731877,43.03938862,60.12938862,50.0,w30,48.74797,21.51969431,0.00016819
2012,b31,0.83899809,0.69731462,0.13876615,Repetition,21.00289896,23.34295609,0.46405712,1.876,2.0,1.33e-05,f31,irrigated,corn,21.63959789,2.19388685,0.94688101,43.27919579,60.08919579,50.0,w31,47.997506,21.63959789,0.00016706
2012,b32,0.8387849,0.69726924,0.13858744,Repetition,20.98768166,23.32890487,0.46522321,1.876,2.0,1.314e-05,f32,irrigated,corn,21.61355544,2.19256625,0.94631104,43.22711087,60.03711087,50.0,w32,48.223138,21.61355544,0.00016748
2012,b33,0.83866831,0.69706487,0.13862611,Repetition,20.97936746,23.32833219,0.47296473,1.876,2.0,1.242e-05,f33,irrigated,corn,21.61249697,2.19251242,0.94628781,43.22499394,60.03499394,50.0,w33,49.23943,21.61249697,0.00017027
2012,b34,0.0,0.0,0.69995486,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f34,rainfed,corn,0.0,0.0,0.0,0.0,16.81,50.0,w34,49.810815,0.0,0.0
2012,b35,0.44473643,0.33339458,0.10385128,Repetition,6.76559233,8.93708519,0.29549285,1.876,2.0,3.216e-05,f35,irrigated,others,13.3933709,0.70339616,0.857773,26.7867418,43.1467418,50.0,w35,49.745198,13.3933709,0.00010638
2012,b36,0.83909371,0.69699898,0.13871065,Repetition,21.0097313,23.36115986,0.47542856,1.876,2.0,1.286e-05,f36,irrigated,corn,21.89854529,2.19559773,0.94761943,43.79709059,60.15709059,50.0,w36,48.74934,21.89854529,0.00017115
2012,b37,0.17340718,0.15588246,0.1676961,Repetition,2.19009528,2.19009528,0.0,0.0,2.0,0.0,f37,rainfed,others,0.0,0.17237215,0.21020328,0.0,16.36,50.0,w37,48.32771,0.0,0.0
2012,b38,0.17340718,0.15588246,0.16776819,Repetition,2.19009528,2.19009528,0.0,0.0,2.0,0.0,f38,rainfed,others,0.0,0.17237215,0.21020328,0.0,16.36,50.0,w38,47.858212,0.0,0.0
2012,b39,0.83943653,0.69727752,0.13885133,Repetition,21.03425876,23.37571535,0.46545659,1.876,2.0,1.184e-05,f39,irrigated,corn,21.92586164,2.19696573,0.94820986,43.85172328,60.21172328,50.0,w39,47.386533,21.92586164,0.00016756
2012,b40,0.0,0.0,0.70065689,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f40,rainfed,corn,0.0,0.0,0.0,0.0,16.36,50.0,w40,46.903188,0.0,0.0
2012,b41,0.0,0.0,0.69985665,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f41,rainfed,corn,0.0,0.0,0.0,0.0,16.81,50.0,w41,50.45333,0.0,0.0
2012,b42,0.0,0.0,0.69999799,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f42,rainfed,corn,0.0,0.0,0.0,0.0,16.81,50.0,w42,49.528622,0.0,0.0
2012,b43,0.44418094,0.3336444,0.10396212,Repetition,6.75409341,8.92107319,0.29097978,1.876,2.0,3.277e-05,f43,irrigated,others,13.09639976,0.70213593,0.85623618,26.19279952,43.00279952,50.0,w43,50.18531,13.09639976,0.00010475
2012,b44,0.0,0.0,0.69989605,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f44,rainfed,corn,0.0,0.0,0.0,0.0,16.81,50.0,w44,50.195554,0.0,0.0
2012,b45,0.0,0.0,0.7001792,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f45,rainfed,corn,0.0,0.0,0.0,0.0,16.36,50.0,w45,50.123658,0.0,0.0
2012,b46,0.17340718,0.15588246,0.16772185,Repetition,2.19009528,2.19009528,0.0,0.0,2.0,0.0,f46,rainfed,others,0.0,0.17237215,0.21020328,0.0,16.36,50.0,w46,48.15935,0.0,0.0
2012,b47,0.17340718,0.15588246,0.16763403,Repetition,2.19009528,2.19009528,0.0,0.0,2.0,0.0,f47,rainfed,others,0.0,0.17237215,0.21020328,0.0,16.36,50.0,w47,48.72949,0.0,0.0
2012,b48,0.17340718,0.15588246,0.16770804,Repetition,2.19009528,2.19009528,0.0,0.0,2.0,0.0,f48,rainfed,others,0.0,0.17237215,0.21020328,0.0,16.36,50.0,w48,48.24907,0.0,0.0
2012,b49,0.8393918,0.69719902,0.13886367,Repetition,21.03105531,23.3754859,0.4684306,1.876,2.0,1.172e-05,f49,irrigated,corn,21.92542983,2.19694416,0.94820055,43.85085966,60.21085966,50.0,w49,47.77129,21.92542983,0.00016864
2012,b50,0.17340718,0.15588246,0.16796057,Repetition,2.19009528,2.19009528,0.0,0.0,2.0,0.0,f50,rainfed,others,0.0,0.17237215,0.21020328,0.0,16.36,50.0,w50,46.60913,0.0,0.0
2012,b51,0.0,0.0,0.70091518,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f51,rainfed,corn,0.0,0.0,0.0,0.0,16.13,50.0,w51,45.75902,0.0,0.0
2012,b52,0.16685972,0.14530173,0.1750456,Repetition,2.09936239,2.09936239,0.0,0.0,2.0,0.0,f52,rainfed,others,0.0,0.16523099,0.20149482,0.0,16.13,50.0,w52,44.356664,0.0,0.0
2012,b53,0.0,0.0,0.70014367,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f53,rainfed,corn,0.0,0.0,0.0,0.0,17.11,50.0,w53,49.608426,0.0,0.0
2012,b54,0.19413041,0.16868053,0.14650105,Repetition,2.48208356,2.48208356,0.0,0.0,2.0,0.0,f54,rainfed,others,0.0,0.19535318,0.23822804,0.0,17.11,50.0,w54,49.793355,0.0,0.0
2012,b55,0.44381763,0.33340617,0.10348937,Repetition,6.74657887,8.91682713,0.29424826,1.876,2.0,3.613e-05,f55,irrigated,others,12.92747769,0.70180175,0.85582865,25.85495538,42.96495538,50.0,w55,51.72154,12.92747769,0.00010593
2012,b56,0.19413041,0.16868053,0.14618651,Repetition,2.48208356,2.48208356,0.0,0.0,2.0,0.0,f56,rainfed,others,0.0,0.19535318,0.23822804,0.0,17.11,50.0,w56,51.793675,0.0,0.0
2012,b57,0.44344067,0.33311298,0.10293529,Repetition,6.73878728,8.91428087,0.29949359,1.876,2.0,3.65e-05,f57,irrigated,others,13.15116278,0.70160134,0.85558426,26.30232556,42.94232556,50.0,w57,51.754666,13.15116278,0.00010782
2012,b58,0.83847494,0.69674269,0.13839757,Repetition,20.96559247,23.32674126,0.48514879,1.876,2.0,1.148e-05,f58,irrigated,corn,21.6945577,2.1923629,0.94622328,43.3891154,60.0291154,50.0,w58,50.593762,21.6945577,0.00017465
2012,b59,0.44396877,0.33354117,0.10321812,Repetition,6.74970434,8.91820042,0.29249608,1.876,2.0,3.285e-05,f59,irrigated,others,13.16859026,0.70190983,0.85596046,26.33718052,42.97718052,50.0,w59,50.166642,13.16859026,0.0001053
2012,b60,0.44429229,0.33384918,0.1033649,Repetition,6.75639741,8.91972595,0.28732854,1.876,2.0,3.023e-05,f60,irrigated,others,13.17538865,0.7020299,0.85610688,26.35077729,42.99077729,50.0,w60,49.024903,13.17538865,0.00010344
2012,b61,0.83871659,0.69716629,0.13832714,Repetition,20.98280999,23.32792459,0.4691146,1.876,2.0,1.297e-05,f61,irrigated,corn,21.69674375,2.19247412,0.94627128,43.3934875,60.0334875,50.0,w61,48.497266,21.69674375,0.00016888
2012,b62,0.0,0.0,0.70045798,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f62,rainfed,corn,0.0,0.0,0.0,0.0,16.64,50.0,w62,48.036973,0.0,0.0
2012,b63,0.16914754,0.15149978,0.17226821,Repetition,2.130985,2.130985,0.0,0.0,2.0,0.0,f63,rainfed,others,0.0,0.16771986,0.20452993,0.0,16.21,50.0,w63,46.066525,0.0,0.0
2012,b64,0.0,0.0,0.69991577,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f64,rainfed,corn,0.0,0.0,0.0,0.0,17.11,50.0,w64,51.125706,0.0,0.0
2012,b65,0.0,0.0,0.69978578,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f65,rainfed,corn,0.0,0.0,0.0,0.0,17.11,50.0,w65,51.99082,0.0,0.0
2012,b66,0.0,0.0,0.69977188,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f66,rainfed,corn,0.0,0.0,0.0,0.0,17.11,50.0,w66,52.08334,0.0,0.0
2012,b67,0.83852672,0.69656125,0.13876251,Repetition,20.96927929,23.33731194,0.49203266,1.876,2.0,1.031e-05,f67,irrigated,corn,21.47912036,2.19335639,0.94665206,42.95824072,60.06824072,50.0,w67,52.13442,21.47912036,0.00017713
2012,b68,0.44344889,0.33302351,0.1029947,Repetition,6.73895701,8.91618776,0.30123075,1.876,2.0,3.726e-05,f68,irrigated,others,13.15963426,0.70175142,0.85576729,26.31926852,42.95926852,50.0,w68,52.086484,13.15963426,0.00010844
2012,b69,0.0,0.0,0.69983403,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f69,rainfed,corn,0.0,0.0,0.0,0.0,16.64,50.0,w69,52.22772,0.0,0.0
2012,b70,0.0,0.0,0.70018121,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f70,rainfed,corn,0.0,0.0,0.0,0.0,16.64,50.0,w70,49.89624,0.0,0.0
2012,b71,0.83861045,0.69698023,0.13835811,Repetition,20.97524401,23.32740428,0.47616027,1.876,2.0,1.232e-05,f71,irrigated,corn,21.69578243,2.19242521,0.94625017,43.39156486,60.03156486,50.0,w71,49.41843,21.69578243,0.00017142
2012,b72,0.83867106,0.69708647,0.13834043,Repetition,20.97956361,23.32770127,0.47213766,1.876,2.0,1.269e-05,f72,irrigated,corn,21.69633111,2.19245313,0.94626222,43.39266223,60.03266223,50.0,w72,48.892484,21.69633111,0.00016997
2012,b73,0.44476168,0.33411283,0.10368303,Repetition,6.7661154,8.92544105,0.28332565,1.876,2.0,2.8e-05,f73,irrigated,others,13.20093531,0.70247971,0.85665541,26.40187062,43.04187062,50.0,w73,48.047963,13.20093531,0.000102
2012,b74,0.16914754,0.15149978,0.17205596,Repetition,2.130985,2.130985,0.0,0.0,2.0,0.0,f74,rainfed,others,0.0,0.16771986,0.20452993,0.0,16.21,50.0,w74,47.43892,0.0,0.0
2012,b75,0.4460297,0.33401492,0.10473733,Repetition,6.79240827,8.95340046,0.28499219,1.876,2.0,2.579e-05,f75,irrigated,others,13.54273803,0.70468026,0.85933892,27.08547606,43.29547606,50.0,w75,46.864045,13.54273803,0.0001026
2012,b76,0.83868701,0.69684252,0.13871171,Repetition,20.98070077,23.33809596,0.48139519,1.876,2.0,1.132e-05,f76,irrigated,corn,21.48057443,2.19343007,0.94668387,42.96114885,60.07114885,50.0,w76,50.729375,21.48057443,0.0001733
2012,b77,0.83862325,0.69673064,0.13873193,Repetition,20.97615626,23.33778395,0.48562769,1.876,2.0,1.092e-05,f77,irrigated,corn,21.4799957,2.19340075,0.94667121,42.9599914,60.0699914,50.0,w77,51.28834,21.4799957,0.00017483
2012,b78,0.44397275,0.33347698,0.10360258,Repetition,6.74978668,8.91903739,0.2932507,1.876,2.0,3.551e-05,f78,irrigated,others,12.93731903,0.7019757,0.85604079,25.87463807,42.98463807,50.0,w78,51.454335,12.93731903,0.00010557
2012,b79,0.0,0.0,0.69972152,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f79,rainfed,corn,0.0,0.0,0.0,0.0,17.11,50.0,w79,52.41829,0.0,0.0
2012,b80,0.83835123,0.69652584,0.13843353,Repetition,20.95678822,23.32613686,0.49334864,1.876,2.0,1.071e-05,f80,irrigated,corn,21.69344153,2.1923061,0.94619876,43.38688306,60.02688306,50.0,w80,51.665784,21.69344153,0.00017761
2012,b81,0.83825832,0.69636296,0.1384605,Repetition,20.9501799,23.32568336,0.49950346,1.876,2.0,1.014e-05,f81,irrigated,corn,21.6926042,2.19226347,0.94618036,43.3852084,60.0252084,50.0,w81,52.470696,21.6926042,0.00017982
2012,b82,0.83851285,0.69680914,0.13838654,Repetition,20.96829143,23.3269266,0.48263516,1.876,2.0,1.172e-05,f82,irrigated,corn,21.69490002,2.19238032,0.94623079,43.38980004,60.02980004,50.0,w82,50.26496,21.69490002,0.00017375
2012,b83,0.83856853,0.69690675,0.13837032,Repetition,20.97225767,23.32719905,0.47894138,1.876,2.0,1.206e-05,f83,irrigated,corn,21.6954033,2.19240593,0.94624185,43.39080659,60.03080659,50.0,w83,49.781956,21.6954033,0.00017242
2012,b84,0.0,0.0,0.70032025,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f84,rainfed,corn,0.0,0.0,0.0,0.0,16.64,50.0,w84,48.962075,0.0,0.0
2012,b85,0.83872771,0.69718577,0.13832388,Repetition,20.9836027,23.32797913,0.46837643,1.876,2.0,1.304e-05,f85,irrigated,corn,21.69684453,2.19247924,0.94627349,43.39368906,60.03368906,50.0,w85,48.400674,21.69684453,0.00016862
2012,b86,0.16914754,0.15149978,0.17199839,Repetition,2.130985,2.130985,0.0,0.0,2.0,0.0,f86,rainfed,others,0.0,0.16771986,0.20452993,0.0,16.21,50.0,w86,47.810998,0.0,0.0
2012,b87,0.83866401,0.69680216,0.138719,Repetition,20.97906132,23.33798338,0.48292206,1.876,2.0,1.117e-05,f87,irrigated,corn,21.48036561,2.19341949,0.9466793,42.96073122,60.07073122,50.0,w87,50.930955,21.48036561,0.00017385
2012,b88,0.44393274,0.33345872,0.10357333,Repetition,6.74895929,8.918467,0.29350771,1.876,2.0,3.567e-05,f88,irrigated,others,12.9347776,0.70193081,0.85598604,25.8695552,42.9795552,50.0,w88,51.523076,12.9347776,0.00010566
2012,b89,0.44380692,0.33340126,0.10348156,Repetition,6.74635754,8.9166747,0.29431716,1.876,2.0,3.617e-05,f89,irrigated,others,12.92679966,0.70178975,0.85581402,25.85359933,42.96359933,50.0,w89,51.73975,12.92679966,0.00010595
2012,b90,0.83856205,0.69662378,0.13875132,Repetition,20.97179604,23.33748465,0.48968861,1.876,2.0,9.09e-06,f90,irrigated,corn,21.47944064,2.19337262,0.94665907,42.95888128,60.06888128,50.0,w90,51.824586,21.47944064,0.00017629
