year,bid,Sa,E[Sa],Un,state,profit,revenue,energy_cost,tech_cost,gp_status,gp_MIPGap,fid,field_type,crop,irr_vol,yield,yield_rate,irr_depth,w,field_area,wid,water_depth,withdrawal,energy
2012,b1,0.31872719,0.33566725,0.02604925,Repetition,4.41361324,6.5491412,0.25952796,1.876,2.0,5.09e-06,f1,irrigated,others,12.66442943,0.72148256,0.87982889,25.32885887,45.48885887,50.0,w1,45.30473,12.66442943,9.343e-05
2012,b2,0.2008177,0.17935952,0.14392337,Repetition,2.57791131,2.57791131,0.0,0.0,2.0,0.0,f2,rainfed,others,0.0,0.28399419,0.3463234,0.0,20.16,50.0,w2,45.658887,0.0,0.0
2012,b3,0.0,0.0,0.70232888,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f3,rainfed,corn,0.0,0.0,0.0,0.0,20.16,50.0,w3,45.99825,0.0,0.0
2012,b4,0.72291427,0.69812917,0.02056708,Repetition,14.75942562,17.0726892,0.43726357,1.876,2.0,5.539e-05,f4,irrigated,corn,21.13882271,2.24611093,0.96942091,42.27764541,62.43764541,50.0,w4,45.8497,21.13882271,0.00015741
2012,b5,0.20165829,0.18164099,0.14356256,Repetition,2.59001345,2.59001345,0.0,0.0,2.0,0.0,f5,rainfed,others,0.0,0.28532742,0.34794923,0.0,20.208,50.0,w5,46.14284,0.0,0.0
2012,b6,0.0,0.0,0.70236591,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f6,rainfed,corn,0.0,0.0,0.0,0.0,20.16,50.0,w6,45.697587,0.0,0.0
2012,b7,0.72288007,0.69809184,0.02055628,Repetition,14.75800631,17.0726892,0.43868289,1.876,2.0,5.564e-05,f7,irrigated,corn,21.13882271,2.24611093,0.96942091,42.27764541,62.43764541,50.0,w7,46.039174,21.13882271,0.00015793
2012,b8,0.2008177,0.17935952,0.1438405,Repetition,2.57791131,2.57791131,0.0,0.0,2.0,0.0,f8,rainfed,others,0.0,0.28399419,0.3463234,0.0,20.16,50.0,w8,46.48909,0.0,0.0
2012,b9,0.72273526,0.69793377,0.02051059,Repetition,14.7519986,17.0726892,0.4446906,1.876,2.0,5.672e-05,f9,irrigated,corn,21.13882271,2.24611093,0.96942091,42.27764541,62.43764541,50.0,w9,46.843274,21.13882271,0.00016009
2012,b10,0.20165829,0.18164099,0.14352598,Repetition,2.59001345,2.59001345,0.0,0.0,2.0,0.0,f10,rainfed,others,0.0,0.28532742,0.34794923,0.0,20.208,50.0,w10,46.54279,0.0,0.0
2012,b11,0.0,0.0,0.70246717,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f11,rainfed,corn,0.0,0.0,0.0,0.0,20.208,50.0,w11,46.835545,0.0,0.0
2012,b12,0.0,0.0,0.70228752,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f12,rainfed,corn,0.0,0.0,0.0,0.0,20.16,50.0,w12,46.333722,0.0,0.0
2012,b13,0.0,0.0,0.70222629,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f13,rainfed,corn,0.0,0.0,0.0,0.0,20.16,50.0,w13,46.830254,0.0,0.0
