,all,cali,vali
GW_st,0.3063083962003687,0.27394170572911575,0.4096250327595921
withdrawal,0.17558233467921228,0.15209513909854322,0.1976356056007267
rainfed,0.039023323839428976,0.03825942223848493,0.05097046419206569
corn,0.04819530336602289,0.05445332864022176,0.02184396207509804
others,0.04819530336602292,0.05445332864022179,0.02184396207509808
