,all,cali,vali
GW_st,0.3489016052671373,0.2704048410382728,0.4934118089904393
withdrawal,0.14840096329048252,0.10933437814947498,0.19230989201441487
rainfed,0.03342258233329902,0.035307966483012466,0.03632046361347149
corn,0.04372803733563811,0.03492352188643607,0.05410446564700406
others,0.043728037335638154,0.034923521886436104,0.05410446564700411
