year,bid,Sa,E[Sa],Un,state,profit,revenue,energy_cost,tech_cost,gp_status,gp_MIPGap,fid,field_type,crop,irr_vol,yield,yield_rate,irr_depth,w,field_area,wid,water_depth,withdrawal,energy
2012,b1,0.32442554,0.33683417,0.02445542,Repetition,4.51020687,6.62518088,0.23897401,1.876,2.0,3.049e-05,f1,irrigated,others,11.66144201,0.72985943,0.89004426,23.32288402,46.84288402,50.0,w1,45.30473,11.66144201,8.603e-05
2012,b2,0.32433974,0.33674983,0.02453077,Repetition,4.50874637,6.62518088,0.24043452,1.876,2.0,3.034e-05,f2,irrigated,others,11.66144201,0.72985943,0.89004426,23.32288402,46.84288402,50.0,w2,45.658887,11.66144201,8.656e-05
2012,b3,0.0,0.0,0.70421447,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f3,rainfed,corn,0.0,0.0,0.0,0.0,23.52,50.0,w3,45.99825,0.0,0.0
2012,b4,0.72786722,0.69866158,0.02363929,Repetition,14.96684957,17.26006316,0.41721359,1.876,2.0,6.226e-05,f4,irrigated,corn,20.16954167,2.27076216,0.98006038,40.33908335,63.85908335,50.0,w4,45.8497,20.16954167,0.0001502
2012,b5,0.25568146,0.20831442,0.09378192,Repetition,3.39579122,3.39579122,0.0,0.0,2.0,0.0,f5,rainfed,others,0.0,0.37409548,0.45619954,0.0,23.576,50.0,w5,46.14284,0.0,0.0
2012,b6,0.0,0.0,0.70424169,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f6,rainfed,corn,0.0,0.0,0.0,0.0,23.52,50.0,w6,45.697587,0.0,0.0
2012,b7,0.72783518,0.69862618,0.02362445,Repetition,14.96549538,17.26006316,0.41856778,1.876,2.0,6.206e-05,f7,irrigated,corn,20.16954167,2.27076216,0.98006038,40.33908335,63.85908335,50.0,w7,46.039174,20.16954167,0.00015068
2012,b8,0.25485913,0.20621002,0.09398699,Repetition,3.38309296,3.38309296,0.0,0.0,2.0,0.0,f8,rainfed,others,0.0,0.37269659,0.45449362,0.0,23.52,50.0,w8,46.48909,0.0,0.0
2012,b9,0.72769948,0.69847631,0.02356158,Repetition,14.9597631,17.26006316,0.42430006,1.876,2.0,6.122e-05,f9,irrigated,corn,20.16954167,2.27076216,0.98006038,40.33908335,63.85908335,50.0,w9,46.843274,20.16954167,0.00015275
2012,b10,0.25568146,0.20831442,0.09377423,Repetition,3.39579122,3.39579122,0.0,0.0,2.0,0.0,f10,rainfed,others,0.0,0.37409548,0.45619954,0.0,23.576,50.0,w10,46.54279,0.0,0.0
2012,b11,0.0,0.0,0.70441884,Social comparison,0.0,0.0,0.0,0.0,2.0,0.0,f11,rainfed,corn,0.0,0.0,0.0,0.0,23.576,50.0,w11,46.835545,0.0,0.0
