,all,cali,vali
GW_st,0.4272928953803541,0.24280430262258096,0.6310354717034523
withdrawal,0.16953631430622626,0.135785893312732,0.20695171637255425
rainfed,0.026621729285371615,0.026202084332281828,0.024552114271336082
corn,0.04675143623839276,0.03897974061703627,0.054535022500575916
others,0.04675143623839277,0.03897974061703629,0.05453502250057593
