,all,cali,vali
GW_st,0.43234523462424385,0.2610779579003124,0.6210767652227223
withdrawal,0.16180414395398296,0.12346331513320662,0.2052259117282656
rainfed,0.0267384216011404,0.0280483308988815,0.009378413966448552
corn,0.07639061042943089,0.04543905651686504,0.11173554658037214
others,0.0763906104294309,0.045439056516865084,0.11173554658037216
