,all,cali,vali
GW_st,0.4260933578570571,0.2757001188857228,0.5951776557044096
withdrawal,0.15974730345555663,0.11071057457308636,0.21526840342482575
rainfed,0.03375774830572552,0.03038684410702402,0.03879711121980953
corn,0.04946549186645775,0.04044344522793231,0.05896842466701775
others,0.04946549186645779,0.040443445227932334,0.058968424667017794
